locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.,Type status,Genus,Species epithet,Collector,Collection Date (Year),Collecting Date (Month),Collecting Date (Day),Country,Prefecture,Island,City/Town,Ward Name,Identifier
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",998,,39324,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",999,,28823,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1000,,28822,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1001,,38758,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1002,,38760,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1003,,38761,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1004,,38762,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1005,,38763,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1006,,38764,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1007,,38765,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1008,,28685,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1009,,39325,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1010,,39326,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1011,,39327,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1012,,39328,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1013,,39329,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1014,,39330,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1015,,39331,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1016,,39332,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1017,,39333,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1018,,39334,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1019,,39335,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1020,,39336,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1021,,39337,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1022,,39338,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1023,,39339,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1024,,39340,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1025,,28751,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1026,,28750,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1027,,28729,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1028,,28730,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1029,,28727,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1030,,28728,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1031,,28725,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1032,,28726,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1033,,28723,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1034,,28724,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1035,,28720,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1036,,28719,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1037,,28718,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1038,,28717,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1039,,28716,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1040,,28715,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1041,,28713,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1042,,28714,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1043,,28712,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1044,,28708,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1045,,28709,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1046,,28706,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1047,,28707,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1048,,28704,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1049,,28705,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1050,,28703,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1051,,28702,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1052,,28701,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1053,,28700,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1054,,28699,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1055,,28698,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1056,,28681,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1057,,28680,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1058,,28679,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1059,,28678,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1060,,28677,,Heterosiphonia,japonica,M. Chihara,1968,3,3,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1061,,166549,,Heterosiphonia,japonica,,1968,3,3,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1062,,39341,,Heterosiphonia,japonica,M. Chihara,1968,3,31,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1063,,39342,,Heterosiphonia,japonica,M. Chihara,1968,3,31,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1064,,28684,,Heterosiphonia,japonica,M. Chihara,1968,3,31,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1065,,28683,,Heterosiphonia,japonica,M. Chihara,1968,3,31,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1066,,28682,,Heterosiphonia,japonica,M. Chihara,1968,3,31,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1067,,28697,,Heterosiphonia,japonica,M. Chihara,1968,4,17,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1068,,28815,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1069,,28811,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1070,,28774,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1071,,28773,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1072,,28772,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1073,,28771,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1074,,28770,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1075,,28769,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1076,,28768,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1077,,28767,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1078,,28752,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1079,,38756,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1080,,38757,,Heterosiphonia,japonica,M. Chihara,1971,2,12,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1081,,28777,,Heterosiphonia,japonica,T. Mukohda,1971,3,15,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1082,,166556,,Heterosiphonia,japonica,M. Chihara,1981,2,4,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",1083,,166557,,Heterosiphonia,japonica,M. Chihara,1981,2,4,Japan,Kanagawa,,Kamakura,,
